훈련소이름,별점,리뷰수,주소,전화,location_type
경기사냥견훈련소,0.0,0건,"경기 남양주시 진건읍 진관로 400-34, (지번) 진건읍 진관리 277-6",,1
코리아애견훈련학교,0.0,0건,"경기 의정부시 새말로 3, (지번) 신곡동 757-6",031-853-7424,1
제일반려견훈련학교,0.0,0건,"경기 하남시 하남대로398번길 20, (지번) 하산곡동 324-8",,1
독스하트,0.0,0건,"경기 남양주시 와부읍 수레로 325, (지번) 와부읍 월문리 544-3",,1
운학동동원훈련장,5.0,1건,경기 용인시 처인구 운학동 324-7,,1
핫독연기견학교,0.0,0건,"경기 남양주시 진접읍 금강로781번길 34, (지번) 진접읍 내곡리 619-2",031-571-5030,1
서당개 파주시반려견교육센터,0.0,0건,"경기 파주시 금빛로 15, (지번) 금촌동 986-5",070-8869-7979,1
조이독,1.0,1건,"경기 남양주시 와부읍 경강로926번길 12, (지번) 와부읍 팔당리 777",031-576-8465,1
삼성화재 안내견학교,5.0,2건,"경기 용인시 처인구 포곡읍 에버랜드로376번길 1-27, (지번) 포곡읍 유운리 505",031-320-8922,1
도그밸리,,,"경기 용인시 기흥구 동백중앙로 283 D동 3층, (지번) 중동 829",0507-1310-8438,1
KSD문화교육원,0.0,0건,"경기 수원시 권선구 온정로9번길 17, (지번) 오목천동 318-59",,1
개두방정,5.0,1건,"경기 양주시 고덕로 219, (지번) 고읍동 340-6",070-4251-7770,1
한국애견훈련학교,0.0,0건,"경기 남양주시 조안면 다산로 431-124, (지번) 조안면 조안리 470",031-577-6432,1
킨더도기 독스포츠 어질리티 훈련센터,0.0,0건,"경기 양주시 청담로84번길 68-10, (지번) 고읍동 208-7",010-7369-4828,1
덕소애견훈련소,0.0,0건,"경기 남양주시 와부읍 수레로 606, (지번) 와부읍 월문리 151",,1
열린홈애견학교,0.0,0건,"경기 광주시 오포읍 오포로520번길 23, (지번) 오포읍 문형리 375-5",,1
라임라이트켄넬,0.0,0건,"경기 양주시 백석읍 월암로11번길 52-15, (지번) 백석읍 홍죽리 637-2",,1
위드유애견훈련소,0.0,0건,"경기 남양주시 화도읍 수레로 1004, (지번) 화도읍 차산리 775-2",031-595-1148,1
수목원애견스쿨,0.0,0건,"경기 포천시 소흘읍 광릉수목원로 911, (지번) 소흘읍 무림리 6-1",031-541-9938,1
도기존,0.0,0건,"경기 남양주시 조안면 고래산로 297, (지번) 조안면 시우리 304-2",,1
워킹애니멀스쿨,0.0,0건,"경기 파주시 파주읍 통일로 1171 1층, (지번) 파주읍 봉암리 919-1",,1
반려동물훈련학교,0.0,0건,"경기 용인시 처인구 모현읍 초부로 84-41 A,B동, (지번) 모현읍 초부리 398-2",010-3294-7665,1
윤선생애견훈련소,0.0,0건,"경기 화성시 송산면 당성로510번길 2, (지번) 송산면 육일리 75-1",010-6293-7297,1
퍼펙트독 애견훈련학교,0.0,0건,"경기 남양주시 화도읍 가곡로88번길 121, (지번) 화도읍 가곡리 산 55-78",,1
코리아경찰견훈련소,0.0,0건,"경기 포천시 가산면 정금로 355-1, (지번) 가산면 금현리 503-16",031-541-7410,1
스터디독스쿨,0.0,0건,"경기 남양주시 수동면 비룡로586번길 4, (지번) 수동면 송천리 406-6",070-4795-9111,1
GPS애견학교,0.0,0건,"경기 파주시 법원읍 사임당로 576, (지번) 법원읍 동문리 504",,1
베일리펫케어,0.0,0건,"경기 광주시 곤지암읍 광여로 289-18, (지번) 곤지암읍 열미리 254",,1
러브독,0.0,0건,"인천 강화군 길상면 장촌길 167, (지번) 길상면 길직리 384-1",010-2495-3022,1
노일호특수목적견센터,0.0,0건,"경기 화성시 팔탄면 터넉골로165번길 70-33, (지번) 팔탄면 지월리 763-4",,1
모나미랜드 블레싱가든,0.0,0건,"경기 이천시 마장면 중부대로2670번길 131, (지번) 마장면 양촌리 299-8",010-5209-0820,1
이천훈련원,0.0,0건,경기 이천시 신둔면 도암리 42-8,,1
임현곤반려견교육센터,5.0,1건,"경기 여주시 산북면 광여로 1481, (지번) 산북면 백자리 31-3",1522-0749,1
본부,0.0,0건,"경기 파주시 파주읍 통일로 1171, (지번) 파주읍 봉암리 919-1",,1
솔루션독,0.0,0건,"경기 오산시 내삼미로80번길 11-2 1층 101호, (지번) 수청동 629-1",010-9641-9319,1
e조은애견스쿨,0.0,0건,"경기 이천시 마장면 중부대로 55, (지번) 마장면 양촌리 산 24-1",,1
도담반려견전문학교,0.0,0건,"경기 화성시 팔탄면 3.1만세로 657, (지번) 팔탄면 해창리 163-1",010-5707-9870,1
한국강아지학교 애견훈련소,0.0,0건,"경기 가평군 설악면 한서로 305-5, (지번) 설악면 위곡리 596-2",031-584-0325,1
쿨스타스,0.0,0건,"경기 김포시 월곶면 문수산로 216, (지번) 월곶면 성동리 152",010-6336-4575,1
평택애견훈련소,0.0,0건,"경기 평택시 동막길 19, (지번) 지산동 97-1",,1
VIP도그아카데미,0.0,0건,"경기 화성시 서신면 궁평항로 1586, (지번) 서신면 용두리 542-21",,1
가람애견학교,0.0,0건,"경기 평택시 오성면 강변로 1451-2, (지번) 오성면 신리 110-1",031-681-6767,1
하성재애견훈련학교,0.0,0건,"경기 양평군 양평읍 충신로294번길 27-24, (지번) 양평읍 회현리 150",031-774-9775,1
프라임킴 프렌치불독,0.0,0건,"경기 양평군 서종면 화서로 532-25, (지번) 서종면 노문리 466-6",,1
코스코워킹독,0.0,0건,"경기 가평군 설악면 신천중앙로28번길 101-60, (지번) 설악면 신천리 263",,1
스나이퍼애견훈련소,0.0,0건,"경기 평택시 평택로32번길 3, (지번) 평택동 297-3",031-307-9312,1
아름뜰,0.0,0건,"경기 여주시 금사면 외평2길 19, (지번) 금사면 외평리 196",,1
뉴스타애견훈련소,0.0,0건,"경기 이천시 가좌로1번길 218-12, (지번) 장록동 323-22",010-5344-4766,1
강성호반려견스쿨,0.0,0건,"경기 안성시 일죽면 일죽신흥로 96, (지번) 일죽면 신흥리 783-1",031-665-2115,1
올림푸스원,0.0,0건,"경기 이천시 설성면 설가로278번길 80-54, (지번) 설성면 상봉리 75-4",,1
모나미랜드,0.0,0건,"경기 안성시 죽산면 걸미로 365, (지번) 죽산면 당목리 726-1",010-5209-0820,1
준독트레이닝센터,5.0,1건,"강원 춘천시 서면 노동길 71, (지번) 서면 안보리 196",033-263-8846,1
일죽사냥견훈련소,0.0,0건,"경기 안성시 일죽면 장암로 151, (지번) 일죽면 장암리 286-2",,1
패밀리애견훈련소,0.0,0건,"충남 당진시 정안로 61, (지번) 원당동 449-3",041-354-7989,1
케이나인 트레이닝센터,0.0,0건,"충남 천안시 서북구 입장면 하장4길 22, (지번) 입장면 하장리 52-13",010-3101-2475,1
하우스오정,0.0,0건,"충남 아산시 음봉면 쌍용길 84-20, (지번) 음봉면 쌍룡리 291",,1
동산애견훈련소,0.0,0건,"충남 천안시 서북구 입장면 기로1길 37-31, (지번) 입장면 기로리 146",,1
펫도움센터,0.0,0건,"충남 천안시 서북구 두정역서3길 8 그레이스, (지번) 두정동 68-22",010-4928-0119,1
한국제1진도견훈련학교,0.0,0건,"충북 음성군 감곡면 성주로 315, (지번) 감곡면 단평리 576",010-8861-1046,1
JK도그아카데미,0.0,0건,"충남 천안시 동남구 향교4길 19-1, (지번) 유량동 188-4",010-7122-0624,1
가정견훈련소,0.0,0건,"충북 증평군 도안면 입장길 239, (지번) 도안면 송정리 12-3",,1
고쳐줄개,0.0,0건,"충북 청주시 흥덕구 옥산면 옥산산단4로 19-1, (지번) 옥산면 국사리 283",010-7537-1602,1
보스애견스쿨,5.0,1건,"충북 청주시 서원구 남이면 남이외천1길 17-14, (지번) 남이면 외천리 83-2",043-263-4688,1
호반애견훈련소,0.0,0건,"강원 춘천시 신북읍 맥국5길 69, (지번) 신북읍 발산리 716-2",010-9159-3174,1
백주쇼독훈련학교,0.0,0건,"충남 아산시 신창면 순천향로 189, (지번) 신창면 행목리 347-15",,1
중부애견학교,0.0,0건,"충남 천안시 동남구 목천읍 소사2길 75, (지번) 목천읍 소사리 267",,1
대전애견훈련소,0.0,0건,"대전 유성구 현충원로 124, (지번) 갑동 404-16",042-823-7054,1
청주 애견훈련학교,0.0,0건,"충북 청주시 상당구 낭성면 산성로 1015, (지번) 낭성면 무성리 202",,1
리드독반려견교육센터,0.0,0건,"대전 서구 대덕대로335번길 19 인효빌딩 5층, (지번) 월평동 226",042-484-5094,1
세종애견훈련소,5.0,3건,"대전 유성구 관용로 116 1층, (지번) 용산동 421-5",010-5154-4139,1
용자산캠프,5.0,1건,"충북 청주시 흥덕구 옥산면 금계장동로 405-33, (지번) 옥산면 장동리 185",043-233-6316,1
준스켄넬,0.0,0건,"충북 청주시 서원구 남이면 청남로 1625-4, (지번) 남이면 가좌리 67",,1
아마존애견훈련소,1.0,8건,"경북 상주시 외서면 연봉4길 153-50, (지번) 외서면 연봉리 257",,1
진돗개왕국,0.0,0건,"강원 속초시 바람꽃마을1길 17-9, (지번) 노학동 1000-218",033-636-6788,1
마한 애견훈련학교,4.0,1건,"전북 익산시 무왕로 1750, (지번) 덕기동 180-19",063-834-9671,1
국립생태원 연구동물사육동,0.0,0건,"충남 서천군 마서면 금강로 1210, (지번) 마서면 송내리 223-3",,1
대구김경호애견스쿨,0.0,0건,"대구 동구 팔공로228길 4, (지번) 백안동 41",053-981-3309,1
전주애견훈련학교,0.0,0건,전북 전주시 덕진구 남정동 701-5,063-211-4755,1
오스카독스쿨,0.0,0건,"강원 강릉시 경강로 2165 동일빌딩 1층 35호, (지번) 옥천동 267",010-2251-4572,1
전북사역견훈련소,0.0,0건,"전북 전주시 덕진구 장재길 103, (지번) 우아동3가 120",063-242-8422,1
김천애견,0.0,0건,"경북 김천시 살티고개길 177, (지번) 백옥동 741",054-437-1585,1
프렌드도그파크,0.0,0건,경북 칠곡군 왜관읍 아곡리 17,054-974-6601,1
포 도그,5.0,1건,"전남 담양군 월산면 담장로 515-19, (지번) 월산면 중월리 430",061-381-9907,1
왈가왈부애견,0.0,0건,"경북 칠곡군 왜관읍 봉계로 228, (지번) 왜관읍 매원리 167",,1
멍스반려견스쿨,0.0,0건,"전남 담양군 대전면 추성1로 385-77 101호, (지번) 대전면 병풍리 52-1",,1
영양애견훈련학교,0.0,0건,"경북 영양군 입암면 마령산해로 1202, (지번) 입암면 산해리 602",,1
반애모,0.0,0건,"경북 구미시 인동남길 176 대성빌딩 4층, (지번) 구평동 447-3",054-464-4895,1
소통하개,0.0,0건,대구 달서구 용산동 215-3 4층,,1
놀자꾸나,0.0,0건,"광주 북구 양산택지소로 25 2층, (지번) 본촌동 3018",010-9964-4494,1
파트라슈 반려견학교,0.0,0건,"경남 밀양시 상남면 조남길 151-37, (지번) 상남면 남산리 238",010-9291-1808,1
더펫하우스협동조합,0.0,0건,"광주 서구 풍금로38번길 45 1층, (지번) 풍암동 981-7",062-652-9414,1
애견훈련학교 새롬하우스,0.0,0건,"전남 영광군 묘량면 밀재로 805-13, (지번) 묘량면 연암리 500-4",,1
캐치독놀아주개,0.0,0건,"광주 서구 유림로46번길 21, (지번) 쌍촌동 1082",010-7175-2584,1
광주애견훈련학교,0.0,0건,"광주 광산구 동곡로 34, (지번) 본덕동 530",062-674-0055,1
신세개 반려견교육학교,0.0,0건,"경남 진주시 내동면 내동로 216-18 1층, (지번) 내동면 신율리 467",010-5821-1089,1
위드독스,0.0,0건,"경남 산청군 단성면 사직단로 140, (지번) 단성면 입석리 104",055-973-9373,1
K1독스쿨,0.0,0건,"경북 경주시 내남면 반구대로 2796-1, (지번) 내남면 월산리 1028-1",054-742-4544,1
K9애견훈련소,0.0,0건,경남 김해시 상동면 여차리 970,,1
광주실내견훈련학교,0.0,0건,"광주 남구 맹간제길 2-9, (지번) 대지동 393-4",,1
댕댕이보호구역,0.0,0건,"경남 진주시 진양호로28번길 21 5층 501호, (지번) 평거동 1097-1",010-6664-5590,1
에이치엔에이치 반려견센터,0.0,0건,"경남 창원시 의창구 평산로207번길 4 킹덤시티 701호, (지번) 서상동 666-5",010-8811-0056,1
개밥컴퍼니,0.0,0건,"전남 순천시 가곡3길 21, (지번) 가곡동 974-5",061-753-6005,1
카밍독 애견훈련,5.0,1건,"경남 창원시 성산구 원이대로 449 노블파크아파트 135동 1706호, (지번) 반림동 10",010-8893-7882,1
BSKS반려동물교육문화센터,5.0,2건,"부산 연제구 고분로 181, (지번) 연산동 411-1",051-850-1340,1
k9애견훈련센터,0.0,0건,"경남 김해시 구산로42번길 7-8 2-405, (지번) 구산동 302-11",010-2577-2955,1
울산반려견학교,1.0,1건,"울산 북구 농서로 806, (지번) 가대동 147-6",,1
필애견엽견훈련학교,0.0,0건,"울산 울주군 서생면 천산로 182-9, (지번) 서생면 명산리 641",052-239-9424,1
파트너독 애견훈련센터,0.0,0건,경남 김해시 상동면 여차리 970,,1
뽀뽀애견사,0.0,0건,"부산 중구 구덕로 61, (지번) 남포동5가 48-1",051-246-2436,1
목포애견훈련학교,0.0,0건,"전남 무안군 일로읍 소댕이나루길 222-8, (지번) 일로읍 구정리 산 48",,1
필애견훈련학교 부산점,0.0,0건,"부산 기장군 기장읍 대청로45번길 59, (지번) 기장읍 대라리 130-5",,1
동물농장,0.0,0건,"부산 동래구 명륜로 50, (지번) 수안동 80-1",,1
케어해줄개,0.0,0건,"부산 연제구 고분로143번길 13 1층, (지번) 연산동 1073-2",010-7721-0859,1
킨더퍼피,0.0,0건,"부산 강서구 명지오션시티4로 96, (지번) 명지동 3237-11",,1
진도개시범사육장 대사농장,0.0,0건,"전남 진도군 군내면 대사길 45, (지번) 군내면 녹진리 351-1",010-9145-8155,1
제주애견학교,0.0,0건,"제주특별자치도 제주시 연삼로 411, (지번) 이도2동 1059-14",064-702-9200,1
진도개공연단,0.0,0건,"전남 진도군 진도읍 성죽골길 12, (지번) 진도읍 동외리 1027",061-543-6610,1
제주펫스쿨,5.0,2건,"제주특별자치도 서귀포시 대정읍 칠전로 438 2층, (지번) 대정읍 신도리 7",070-5184-4504,1
진도개천국,0.0,0건,"전남 진도군 진도읍 남산로 5-12, (지번) 진도읍 남동리 242",061-543-2072,1
김재신반려견스쿨,5.0,1건,"제주특별자치도 제주시 구좌읍 세송로 573, (지번) 구좌읍 세화리 3482-1",064-783-8600,1
제주도말조련거점센터,0.0,0건,"제주특별자치도 제주시 1100로 2805, (지번) 노형동 307",,1
진도개테마파크 진도개선수촌,0.0,0건,"전남 진도군 진도읍 성죽골길 77, (지번) 진도읍 동외리 58",,1
