,병원이름,별점,리뷰수,주소,전화
18,라온펫동물병원,5.0,5건,"대전 대덕구 한밭대로 1100, (지번) 중리동 230-1",042-627-8875
19,정동물병원,5.0,2건,"대전 서구 괴정로 114, (지번) 괴정동 80-2",042-533-8866
20,솔펫동물병원,3.4,5건,"대전 동구 동대전로 141, (지번) 자양동 141-1",042-622-7525
21,하나로동물병원,5.0,1건,"대전 동구 동대전로 115, (지번) 대동 402-8",042-626-7793
22,대전본동물병원,4.6,7건,"대전 서구 관저로 27 101 1호, (지번) 관저동 1952-3",042-546-7588
23,가양동물병원,5.0,2건,"대전 동구 흥룡로 4 가동, (지번) 가양동 418-11",042-636-8855
24,퍼니펫동물병원,4.8,12건,"대전 유성구 농대로 4, (지번) 어은동 105-7",042-862-7588
25,정담동물병원,4.3,7건,"대전 서구 신갈마로 260 1층, (지번) 갈마동 791-3",042-487-5675
26,한밭동물병원,4.3,4건,"대전 유성구 봉산로6번길 9, (지번) 봉산동 290-7",042-931-1187
27,제일동물병원,5.0,3건,"대전 중구 충무로 155, (지번) 문창동 75-116",042-252-7575
28,베스트동물병원,5.0,8건,"대전 유성구 월드컵대로 300, (지번) 상대동 441-1",042-822-7515
29,늘동물병원,0.0,0건,"대전 중구 중교로 83-2, (지번) 은행동 170-26",042-252-7583
30,웰케어동물병원,3.3,8건,"대전 서구 관저북로13번길 23-12 한빛빌딩 1층, (지번) 관저동 1781",
31,닥터코기동물병원,4.4,7건,"대전 서구 둔산남로 94 로고스빌딩 1층 103호, (지번) 탄방동 710",042-489-8834
32,웰니스동물병원 대전복합터미널,4.6,9건,"대전 동구 동서대로 1689 3층, (지번) 용전동 63-3",042-624-6275
33,맑은눈동물병원,3.0,2건,"대전 유성구 도안대로 591 205호, (지번) 봉명동 553-4",042-823-7555
34,마이펫동물병원,4.0,4건,"대전 중구 계백로 1608, (지번) 유천동 185-42",042-581-7555
35,드림동물병원,4.4,5건,"대전 서구 문정로 102, (지번) 탄방동 827",042-472-7566
36,현대종합동물병원,2.3,3건,"대전 서구 대덕대로 4, (지번) 내동 169-11",042-221-0075
37,퍼피동물병원,0.0,0건,"대전 서구 도산로 280, (지번) 가장동 42-3",042-533-7533
38,바스텟고양이병원,5.0,1건,"대전 유성구 엑스포로151번길 19 도룡 하우스디 E동 2층 209호, (지번) 도룡동 4-12",042-867-7577
39,서울동물병원,3.8,4건,"대전 중구 보문산로64번길 4, (지번) 산성동 279-7",042-585-6767
40,유성튼튼동물병원,5.0,5건,"대전 유성구 죽동로279번길 5-3, (지번) 죽동 718-6",042-825-7551
41,엑슬루동물병원,5.0,4건,"대전 대덕구 대덕대로 1555 금강엑슬루타워 상가동 1층 114호, (지번) 석봉동 770",
42,테크노웰동물병원,5.0,2건,"대전 유성구 관들1길 17, (지번) 관평동 879",042-931-0963
43,다원동물병원,4.0,4건,"대전 유성구 원내로51번길 22, (지번) 원내동 101-5",042-544-4311
44,와이즈동물병원,4.3,6건,"대전 서구 원도안로 28, (지번) 가수원동 897",042-716-3475
45,둔산동물병원,5.0,1건,"대전 서구 대덕대로 145, (지번) 갈마동 1070",042-536-3480
46,닥터리동물병원,3.7,3건,"대전 동구 동구청로 89-2 제이타워 1,2층, (지번) 가오동 644",042-274-0365
47,펫플러스동물병원,5.0,1건,"대전 동구 계족로 521 1층, (지번) 용전동 26-34",042-632-3114
48,도드람양돈농협 동물병원,0.0,0건,"대전 서구 구봉산북로 12 도드람대전센터 2층, (지번) 관저동 1971-2",042-826-7938
49,레인보우 동물병원,3.0,1건,"대전 동구 우암로171번길 72, (지번) 성남동 200-68",042-636-1424
50,참 동물병원,5.0,1건,"대전 서구 도산로 82, (지번) 도마1동 129-16",042-536-0075
51,나아라 동물병원,5.0,2건,"대전 서구 원도안로 255 1층, (지번) 도안동 1049",042-721-1346
52,디위드동물병원,5.0,2건,"대전 대덕구 동춘당로114번길 11-17, (지번) 송촌동 445-2",042-632-7553
53,신탄진동물병원,5.0,1건,"대전 대덕구 신탄진로 797, (지번) 신탄진동 147-5",042-931-7582
54,행복드림동물병원,5.0,6건,"대전 유성구 지족로 292 하나로빌딩 101호, (지번) 지족동 1025-2",042-822-8675
55,한민동물병원,5.0,1건,"대전 서구 갈마로 274, (지번) 내동 7",042-538-3838
56,학하동물병원,4.2,5건,"대전 유성구 학하중앙로 125, (지번) 학하동 713-12",042-361-3677
57,이승재동물병원,0.0,0건,"대전 대덕구 신탄진로 842, (지번) 신탄진동 117-35",042-932-0970
58,관저종합동물병원,0.0,0건,"대전 서구 구봉로 133 1층, (지번) 관저동 1542",042-546-7575
59,수사랑동물병원,4.0,4건,"대전 유성구 노은서로108번길 47, (지번) 노은동 496-10",042-477-0882
60,금비동물병원,5.0,11건,"대전 중구 계백로 1697-1, (지번) 오류동 164-5",042-526-4672
61,윌평동물병원,4.0,4건,"대전 서구 청사서로 29, (지번) 월평동 266-1",042-489-8890
62,로하스동물병원,5.0,1건,"대전 대덕구 덕암로265번길 31, (지번) 덕암동 10-4",042-935-7509
63,꿀벌동물병원,3.0,2건,"대전 중구 보문로 235, (지번) 대흥동 508-55",042-256-6004
64,황학균동물병원,2.0,5건,"대전 유성구 상대동로2번길 12, (지번) 상대동 480-4",042-822-4775
65,올리브동물병원,5.0,4건,"대전 중구 목동로56번길 5, (지번) 목동 93-2",042-222-3700
66,행복한동물병원,5.0,1건,"대전 유성구 구즉로48번길 6, (지번) 송강동 193-2",042-936-1075
67,쿨펫양한방동물병원 유성홈플러스점,3.0,4건,"대전 유성구 한밭대로 502 홈플러스 3층, (지번) 봉명동 669",042-823-7583
68,추영재동물병원,0.0,0건,"대전 대덕구 한밭대로 1027 우성빌딩 1층, (지번) 오정동 62-1",
69,닥터펫 에이스동물병원,2.3,3건,"대전 중구 보문산로 72, (지번) 산성동 280-7",042-585-7533
70,고려동물병원,0.0,0건,"대전 대덕구 송촌로93번길 2, (지번) 송촌동 481-11",042-633-7582
71,편안한 동물병원,0.0,0건,"대전 유성구 반석로 32 1층 101호, (지번) 반석동 621-5",042-822-8217
72,도안동물병원,0.0,0건,"대전 서구 관저중로95번길 99, (지번) 관저동 1110",042-544-7582
73,미래동물병원,1.0,2건,"대전 동구 용운로 117, (지번) 용운동 431-1",042-285-7522
74,조은동물병원,5.0,2건,"대전 유성구 엑스포로 459 1층, (지번) 전민동 385-5",
75,선비동물병원,2.3,3건,"대전 대덕구 송촌북로4번길 15, (지번) 송촌동 470-8",042-637-7572
76,다정한동물병원,4.3,4건,"대전 서구 둔산북로 175 햇님아파트 상가동 112호, (지번) 둔산동 1383",042-484-0480
77,나무쉼터동물병원,5.0,1건,"대전 중구 수침로 67-7, (지번) 태평동 264-25",042-536-5002
78,청운동물병원,3.0,2건,"대전 중구 태평로 36, (지번) 유천동 324-19",042-522-0005
79,굿모닝동물병원,0.0,0건,"대전 중구 대종로 309, (지번) 부사동 129-7",042-255-7533
80,안호영동물병원,3.7,3건,"대전 서구 계룡로 358, (지번) 갈마동 293-5",042-532-7272
81,엄마손동물병원,0.0,0건,"대전 서구 계백로 1426, (지번) 도마동 173-1",042-585-0076
82,송강동물병원,1.0,2건,"대전 유성구 구즉로52번길 46, (지번) 송강동 186-7",042-934-7588
83,푸우동물병원,0.0,0건,"대전 중구 동서대로 1433-1, (지번) 중촌동 398-6",042-223-5775
84,더펫동물병원,0.0,0건,"대전 대덕구 계족로 554 더펫반려동물용품점 2층, (지번) 중리동 122-2",
85,스마일동물병원,1.0,1건,"대전 대덕구 중리로 58, (지번) 중리동 375-26",042-626-3075
86,그레이동물병원,0.0,0건,"대전 유성구 노은로 166 계룡프라자 2층 204호, (지번) 지족동 901-5",042-719-8275
87,JH동물병원,0.0,0건,"대전 서구 신갈마로 266, (지번) 갈마동 762",042-531-1533
88,노은동물병원,0.0,0건,"대전 유성구 은구비로 46, (지번) 지족동 910-24",042-477-1175
89,하나동물병원,0.0,0건,"대전 중구 동서대로 1198 하나빌딩1층, (지번) 태평2동 409-20",042-525-7588
90,신성동물병원,5.0,3건,"대전 유성구 신성로62번길 30, (지번) 신성동 209-10",042-863-0700
91,슈슈동물병원,0.0,0건,"대전 유성구 월드컵대로316번길 9 101호, (지번) 상대동 454-4",042-825-3034
92,하모니동물병원,,,"대전 유성구 관평2로 20 1층, (지번) 관평동 933",042-934-8575
93,람보동물병원,5.0,4건,"대전 유성구 지족로 374 옥타브상가 B동 114,115호, (지번) 지족동 986-2",042-825-8461
94,상아동물병원,5.0,2건,"대전 대덕구 계족로 617, (지번) 중리동 133-3",042-627-7744
95,아이케어 동물병원,5.0,1건,"대전 유성구 엑스포로446번길 42 1층, (지번) 문지동 637-2",042-710-7975
96,수정동물병원,0.0,0건,"대전 서구 도안북로117번길 33, (지번) 도안동 905",042-825-3399
97,도드람 대전센터,0.0,0건,"대전 서구 구봉산북로 12, (지번) 관저동 1971-2",042-826-7938
98,스마트동물병원,0.0,0건,"대전 서구 문정로 208, (지번) 둔산동 1810",
99,펫프렌즈동물병원,0.0,0건,"대전 유성구 북유성대로 206, (지번) 하기동 519",
100,대전충청영상동물병원,0.0,0건,"대전 서구 둔산로 57, (지번) 둔산동 1276",
101,이솜동물병원,0.0,0건,"대전 유성구 노은로 166, (지번) 지족동 901",
102,쿠쿠펫,4.0,4건,"대전 유성구 봉명로 27-7, (지번) 원신흥동 491-2",042-825-6000
103,충남대학교 동물병원,0.0,0건,"대전 유성구 대학로 99, (지번) 궁동 220",042-821-6704
104,유성동물약국,0.0,0건,"대전 유성구 장대로 47, (지번) 장대동 280-6",042-822-5081
105,대전오월드 동물병원,0.0,0건,"대전 중구 사정공원로 70, (지번) 사정동 142",
