병원이름,별점,리뷰수,주소,전화,location_type
오션동물메디컬센터,5.0,4건,"부산 해운대구 선수촌로 78 2층, (지번) 반여동 1441-85",051-711-5999,0
하단오거리 동물의료센터,3.4,5건,"부산 사하구 하신중앙로 340, (지번) 하단동 617-10",051-264-8275,0
대호동물병원,5.0,4건,"부산 서구 구덕로 130, (지번) 토성동5가 34-3",051-248-1188,0
해운대동물메디컬센터,2.7,3건,"부산 해운대구 양운로 40 봉황빌딩 301호, (지번) 좌동 1486-1",051-702-8275,0
이브동물병원,3.0,2건,"부산 부산진구 거제대로 14, (지번) 양정동 402-15",051-863-7570,0
서울동물병원 애견미용호텔,4.0,4건,"부산 수영구 광안로 19, (지번) 광안동 144-54",051-514-5404,0
미소동물병원,3.0,6건,"부산 부산진구 가야대로 754 한솔폴라리스 2층, (지번) 부전동 505-6",051-894-5433,0
더본 외과동물의료센터,5.0,1건,"부산 남구 수영로 364 4층, (지번) 대연동 29-1",051-711-7515,0
부산종합동물병원,2.0,4건,"부산 부산진구 중앙대로 867 오성빌딩 2층, (지번) 양정동 519-16",051-817-4626,0
아산동물의료센터,5.0,1건,"부산 기장군 정관읍 정관로 583 대한빌딩 101,201호, (지번) 정관읍 매학리 717-3",051-727-7522,0
박동물종합병원,5.0,2건,"부산 사하구 낙동대로 407, (지번) 당리동 325-1",051-202-4964,0
서부산동물메디컬센터,4.3,12건,"부산 사상구 낙동대로 786 애진빌딩 201호, (지번) 엄궁동 565-1",051-715-8875,0
Ing동물병원,3.9,7건,"부산 해운대구 대천로 114, (지번) 좌동 1295-4",051-702-5575,0
뉴욕동물병원,4.2,5건,"부산 동래구 명륜로 65, (지번) 수안동 4-17",051-555-2119,0
구서웰동물병원,5.0,1건,"부산 금정구 금강로403번길 1 2층, (지번) 구서동 471-8",051-515-7272,0
맘스동물병원,5.0,2건,"부산 영도구 남항로 20-1, (지번) 남항동2가 245-5",051-911-7584,0
닥터펫동물의료센터,4.8,4건,"부산 부산진구 개금온정로 6 블루스카이 2층, (지번) 개금동 198-1",051-891-8575,0
정훈동물병원,4.6,7건,"부산 부산진구 부전로66번길 12, (지번) 부전동 515-1",051-809-7975,0
금빛동물의료센터,4.8,6건,"부산 금정구 식물원로 38 주현빌딩 1,2층, (지번) 장전동 615-6",051-515-5179,0
가나다동물병원,5.0,4건,"부산 사상구 가야대로 325, (지번) 주례동 191-17",051-715-7979,0
베이직동물병원,5.0,11건,"부산 북구 만덕3로 55-1 2층, (지번) 만덕동 918-13",051-342-5999,0
김준완동물병원,1.3,12건,"부산 해운대구 해운대로 580 태경빌딩 4층, (지번) 우동 641-7",051-704-7582,0
H동물메디컬센터,,,"부산 금정구 부곡로 3, (지번) 부곡동 889-7",051-583-7575,0
서면동물병원,2.5,4건,"부산 부산진구 부전로 87, (지번) 부전동 466-19",051-809-8092,0
보듬동물병원,4.0,2건,"부산 부산진구 가야대로 517 윤정빌딩 1층, (지번) 가야동 143-48",051-894-1202,0
주례 동물병원,3.0,2건,"부산 사상구 가야대로 258, (지번) 주례동 1162-3",051-313-2559,0
동래종합동물병원,0.0,0건,"부산 동래구 금강로 69 온천프라자상가 105호, (지번) 온천동 435-1",051-558-0775,0
가온동물병원,5.0,9건,"부산 서구 대영로 36, (지번) 서대신동1가 141-1",051-241-3131,0
유어캣 고양이병원,5.0,5건,부산 수영구 민락동 775 센텀비스타동원2차 상가 2층 203호,051-757-1275,0
유기화동물의료센터,5.0,2건,"부산 동래구 아시아드대로 131-1 2층, (지번) 사직동 100-2",051-506-8492,0
동물병원산책,5.0,10건,"부산 금정구 수림로 25 쌍용아파트 상가 2층, (지번) 부곡동 224-1",051-714-0209,0
이룸동물병원,5.0,1건,"부산 연제구 연수로 140, (지번) 연산동 1948-7",051-868-0075,0
더힐동물병원,5.0,5건,"부산 북구 만덕대로 147 삼정그린코아아파트상가 1층 105호, (지번) 덕천동 373-1",051-341-3344,0
기장동물병원,5.0,1건,"부산 기장군 기장읍 차성로288번길 61, (지번) 기장읍 대라리 35-12",051-721-8075,0
알로하동물병원,5.0,8건,"부산 수영구 수영로 602, (지번) 광안동 141-10",051-757-7845,0
노블동물병원,4.3,8건,"부산 동래구 아시아드대로 160 1,2층, (지번) 사직동 64-24",051-982-2580,0
장원동물병원,3.0,4건,"부산 북구 시랑로 1, (지번) 구포1동 669-2",051-342-3739,0
네오메디컬동물병원,4.0,8건,"부산 강서구 명지국제6로 234 1층, (지번) 명지동 3442-4",051-291-4545,0
더프라임동물의료원,0.0,0건,"부산 수영구 수영로 405-1 2~5층, (지번) 남천동 69-20",051-625-2345,0
개금동물병원,5.0,4건,"부산 사상구 가야대로 367, (지번) 주례동 23-2",051-324-9954,0
희망한방동물병원,0.0,0건,"부산 중구 구덕로 51, (지번) 남포동5가 60-1",051-248-1445,0
착한동물병원 정관점,3.7,3건,"부산 기장군 정관읍 정관로 575-3 2층 202호, (지번) 정관읍 매학리 713-6",051-923-0119,0
도담동물병원,5.0,3건,"부산 부산진구 망양로 973 2층, (지번) 범천동 1298-114",051-818-0251,0
훈 동물병원,4.0,2건,"부산 동래구 명륜로194번길 2 1층, (지번) 명륜동 676-20",051-554-0010,0
모라동물병원,5.0,1건,"부산 사상구 백양대로 957, (지번) 모라1동 1338-8",051-325-1638,0
일광해빛동물병원,5.0,1건,"부산 기장군 일광읍 해빛6로 85-4 스타타워2 3층, (지번) 일광읍 삼성리 830-8",051-721-7975,0
튼튼동물병원,4.0,5건,"부산 남구 수영로 332, (지번) 대연3동 54-12",051-621-7555,0
오리진동물피부과병원,,,"부산 수영구 광안해변로370번길 9-8 3층, (지번) 민락동 110-82",051-753-7582,0
에이스종합동물병원,5.0,1건,"부산 금정구 금강로 578, (지번) 구서2동 839-1",051-582-8701,0
리안동물병원,5.0,1건,"부산 해운대구 달맞이길 58 2층, (지번) 중동 942-6",051-747-1275,0
드림동물병원,3.5,2건,"부산 금정구 금강로 539, (지번) 구서동 742-48",051-517-8575,0
아이센텀동물메디컬센터,4.9,15건,"부산 해운대구 센텀동로 25 월드마크센텀 B상가동 203호, (지번) 우동 1488",051-746-0075,0
박창언동물병원,5.0,1건,"부산 해운대구 해운대로177번길 6 1층, (지번) 재송동 369-1",051-782-7275,0
가야동물병원,4.0,1건,"부산 부산진구 가야대로 491, (지번) 개금1동 186-22",051-894-7559,0
해밀동물병원,5.0,5건,"부산 해운대구 송정광어골로 22, (지번) 송정동 311-22",051-710-1766,0
라온동물병원,5.0,3건,"부산 사하구 낙동대로 511, (지번) 하단동 505-8",051-291-7900,0
레알동물병원,3.0,4건,"부산 동래구 반송로 243, (지번) 안락동 946-7",051-524-8275,0
제이펫동물병원,2.3,3건,"부산 연제구 연수로 98 3층, (지번) 연산동 844-28",051-853-7579,0
착한동물병원,0.0,0건,"부산 해운대구 선수촌로 65-19 1층, (지번) 반여동 1465-57",051-927-7575,0
위드동물병원,0.0,0건,"부산 부산진구 동평로 54, (지번) 당감동 351",051-891-7597,0
차동물병원,5.0,1건,"부산 북구 금곡대로 304, (지번) 화명동 1469-4",051-331-7582,0
시민동물병원,3.7,3건,"부산 동구 초량상로 84-1, (지번) 초량동 287-9",051-464-5975,0
구구동물병원,5.0,1건,"부산 동구 범일로 64, (지번) 범일동 325-3",051-638-9977,0
민락동물병원,5.0,2건,"부산 수영구 광남로 207, (지번) 민락동 161-19",051-757-8529,0
괴정동물병원,,,"부산 사하구 낙동대로 246-1, (지번) 괴정동 896-17",,0
온마음동물병원,0.0,0건,"부산 동래구 중앙대로1473번길 24 온천장역삼정그린코아더시티 1층 109,110호, (지번) 온천동 180-14",051-552-6800,0
메이동물의료센터,3.7,3건,"부산 수영구 수영로 610, (지번) 광안동 118-7",051-752-6667,0
힘찬동물병원,3.7,3건,"부산 부산진구 대학로 1, (지번) 가야동 378-17",051-894-8275,0
이상동물병원,5.0,1건,"부산 수영구 수영로 757 2층, (지번) 수영동 519",051-759-0225,0
W동물의료센터,3.6,8건,"부산 남구 용호로 68 2층, (지번) 용호동 164",051-626-5050,0
한양동물병원,3.0,2건,"부산 동래구 반송로 265, (지번) 명장2동 29-4",051-527-8742,0
롯데동물메디컬센터,2.0,4건,"부산 부산진구 거제대로 20-1, (지번) 양정동 401-11",051-851-6612,0
린동물병원,5.0,2건,"부산 동래구 중앙대로1381번길 43 2층, (지번) 온천동 777-49",051-514-2470,0
배산 동물병원,0.0,0건,"부산 기장군 기장읍 차성로 286, (지번) 기장읍 대라리 417",051-755-1175,0
해운대24시동물의료원,1.0,8건,"부산 해운대구 양운로 45 베르나움 1층, (지번) 좌동 1476-1",051-702-7581,0
갑을동물병원,3.3,7건,"부산 해운대구 재반로 148, (지번) 재송2동 1145-32",051-784-7844,0
사상동물병원,3.0,2건,"부산 사상구 사상로 153, (지번) 괘법동 555-26",051-322-3026,0
토곡동물병원,5.0,3건,"부산 연제구 과정로 234-1, (지번) 연산9동 399-12",051-759-8669,0
동구종합동물병원,5.0,2건,"부산 동구 망양로 835-1, (지번) 수정5동 427-48",051-441-6383,0
참조은동물병원,1.0,1건,"부산 사하구 낙동대로 295, (지번) 괴정동 550-1",051-292-0141,0
청조동물병원,3.0,4건,"부산 연제구 온천천남로 4, (지번) 연산1동 300-3",051-503-0688,0
해옴동물병원,3.7,3건,"부산 강서구 명지오션시티4로 69 지봉빌딩 201호, (지번) 명지동 3239-5",051-271-8119,0
만덕동물병원,1.0,1건,"부산 북구 덕천로 227, (지번) 만덕동 916-7",051-337-0075,0
대디심장동물병원,5.0,2건,"부산 부산진구 동평로 173, (지번) 부암동 751",051-806-5000,0
스카이동물병원,4.6,7건,"부산 동래구 충렬대로 160 1층, (지번) 온천동 1440-1",051-506-8875,0
영도동물병원,2.6,5건,"부산 영도구 태종로 111, (지번) 영선동1가 20-4",051-415-2566,0
펫케어동물병원,5.0,2건,"부산 부산진구 가야공원로 6 가야센트레빌아파트 단지내상가 111호, (지번) 가야동 699",051-896-7582,0
조앤박동물병원,5.0,3건,"부산 해운대구 양운로 108 2층, (지번) 좌동 985-2",051-702-7511,0
새부산종합동물병원,5.0,4건,"부산 부산진구 전포대로298번길 1, (지번) 전포2동 584",051-802-6637,0
스펀지동물병원,0.0,0건,"부산 해운대구 해운대로 658-1, (지번) 우동 586-23",051-746-1075,0
해든동물병원,1.0,4건,"부산 북구 백양대로 1053, (지번) 구포동 935-2",051-343-3834,0
유성준동물병원,4.3,6건,"부산 동래구 명륜로 90 호원메디컬빌딩 1층, (지번) 수안동 568",051-555-4813,0
그랜드동물병원,5.0,1건,"부산 북구 학사로 299, (지번) 금곡동 1880-12",051-365-7588,0
신병헌동물병원,0.0,0건,"부산 사상구 사상로 261, (지번) 덕포1동 429-13",051-304-6455,0
마린파크동물병원,5.0,1건,"부산 해운대구 마린시티2로 2 2층, (지번) 우동 1405",051-746-7519,0
이로운동물병원,5.0,5건,"부산 강서구 명지국제11로 35 103동 105호, (지번) 명지동 3331-7",051-916-7575,0
서면큐외과동물병원,0.0,0건,"부산 부산진구 서전로 25 이오스프라자 202호, (지번) 전포동 667-16",051-818-5975,0
온천동물병원,5.0,1건,"부산 동래구 아시아드대로 207 1층, (지번) 온천동 1266-4",051-505-4088,0
길경진동물병원,4.0,4건,"부산 서구 구덕로 308, (지번) 동대신동2가 368-1",051-244-5504,0
고동물병원,3.0,2건,"부산 중구 자갈치로47번길 5, (지번) 남포동5가 51-7",051-246-0473,0
바른진료동물병원,3.0,2건,"부산 기장군 일광읍 해빛로 13 제일프라자 203호, (지번) 일광읍 삼성리 825-2",051-724-7570,0
차이 동물병원,5.0,2건,"부산 수영구 황령산로 3, (지번) 남천동 52-31",051-627-7542,0
조은동물병원,4.8,6건,"부산 해운대구 해운대로 624, (지번) 우동 529-2",051-746-7775,0
수동물병원,4.0,1건,"부산 금정구 금강로 340, (지번) 장전동 219-6",051-582-9335,0
부일종합동물병원,5.0,1건,"부산 부산진구 동평로 245, (지번) 연지동 198-1",051-809-8008,0
참행복한동물병원,2.5,2건,"부산 금정구 금강로 393, (지번) 구서동 471-17",051-714-7075,0
명지종합동물병원,5.0,4건,"부산 강서구 명지오션시티11로 74, (지번) 명지동 3239",051-271-8889,0
메트로동물병원,3.0,6건,"부산 남구 용호로 20, (지번) 용호1동 176-7",051-623-7599,0
해온동물병원,,,"부산 남구 용호로 233, (지번) 용호동 554-1",051-612-7552,0
태종동물병원,0.0,0건,"부산 영도구 동삼로 80, (지번) 동삼동 266-3",051-405-9493,0
마리동물병원,5.0,6건,"부산 해운대구 해운대로 794, (지번) 좌동 1473-2",051-702-5750,0
25시동물병원,3.0,2건,"부산 남구 수영로 34, (지번) 문현동 359-21",051-635-0402,0
남산동물병원,0.0,0건,"부산 금정구 금강로 703-3, (지번) 남산동 321-12",051-517-8275,0
디알씨동물병원,5.0,1건,"부산 기장군 기장읍 차성로 314, (지번) 기장읍 동부리 124",051-624-8275,0
오션시티동물병원,,,"부산 강서구 명지오션시티11로 66 G타워 203호, (지번) 명지동 3238",051-271-7582,0
삼성종합동물병원,2.0,3건,"부산 사하구 감천로 32, (지번) 감천동 682",051-205-1017,0
더원동물의료센터,3.7,3건,"부산 부산진구 새싹로 218, (지번) 초읍동 263-36",051-808-5550,0
피정현 동물병원,1.0,1건,"부산 연제구 거제천로 258, (지번) 연산동 581-4",051-864-7582,0
당감동물병원,5.0,1건,"부산 부산진구 당감로 31-1, (지번) 당감동 430-2",051-897-7271,0
우진동물병원,3.0,1건,"부산 부산진구 동평로 115-1, (지번) 부암동 343-86",051-865-1782,0
성심동물병원,5.0,1건,"부산 해운대구 좌동순환로 308, (지번) 좌동 1327-5",051-704-7540,0
센트럴동물병원,0.0,0건,"부산 영도구 태종로 78, (지번) 대교동1가 143",051-415-2468,0
카이저동물병원,2.3,3건,"부산 북구 금곡대로 182, (지번) 화명1동 898-19",051-361-7582,0
행복드림 동물병원,5.0,1건,"부산 해운대구 삼어로 61 우방신세계아파트 정문 상가 2층, (지번) 반여동 1190-1",051-521-0521,0
진석범동물병원,5.0,6건,"부산 연제구 과정로237번길 115, (지번) 연산동 417-20",051-997-8275,0
홈즈동물메디컬센터,5.0,4건,"부산 강서구 명지국제8로 233 더스퀘어 2층 203,204호, (지번) 명지동 3357-2",051-294-7555,0
신호동물병원,0.0,0건,"부산 강서구 신호산단1로 124, (지번) 신호동 304-9",,0
류태현동물병원,0.0,0건,"부산 동래구 금강공원로 11-1, (지번) 온천1동 170-2",051-553-4407,0
수비동물병원,1.0,1건,"부산 금정구 부곡로 142, (지번) 부곡동 274-9",051-518-7427,0
양지종합동물병원,3.0,2건,"부산 연제구 월드컵대로114번길 1, (지번) 연산4동 746-12",051-867-5595,0
현대동물병원,5.0,2건,"부산 연제구 과정로 171-1, (지번) 연산9동 418-10",051-755-4765,0
바른동물병원,5.0,2건,"부산 동래구 충렬대로 488, (지번) 안락2동 64-1",051-531-7582,0
센텀동물병원,5.0,2건,"부산 해운대구 센텀중앙로 145, (지번) 재송동 1200",051-744-6336,0
고은동물병원,0.0,0건,"부산 사상구 모라로 107, (지번) 모라동 459-2",051-311-7578,0
피닉스동물병원,5.0,1건,"부산 중구 구덕로 30-1 2층, (지번) 남포동2가 36-7",051-246-7551,0
리치동물병원,5.0,4건,"부산 부산진구 당감서로 84, (지번) 당감4동 738-3",051-892-0280,0
마린시티동물병원,4.0,4건,"부산 해운대구 마린시티3로 23 오렌지프라자 3층 342~344호, (지번) 우동 1435",,0
망미동물병원,5.0,1건,"부산 연제구 과정로 84, (지번) 연산9동 2235-8",051-753-7580,0
한솔동물병원,3.3,3건,"부산 사하구 낙동대로 184, (지번) 괴정동 262-1",051-201-0475,0
학장동물병원,0.0,0건,"부산 사상구 대동로 129, (지번) 학장동 574-9",051-312-7555,0
사직삼보동물병원,3.0,2건,"부산 동래구 사직북로63번길 11, (지번) 사직동 28-15",051-504-1813,0
닥터주 동물병원,0.0,0건,"부산 해운대구 좌동순환로402번길 8, (지번) 좌동 1340-3",051-731-7530,0
염동물병원,0.0,0건,"부산 사하구 사하로142번길 10, (지번) 괴정3동 472-51",051-292-3690,0
행복한 동물병원,0.0,0건,"부산 북구 금곡대로 344, (지번) 화명동 1528-5",051-363-7593,0
지경희동물병원,0.0,0건,"부산 남구 용호로 199, (지번) 용호동 532-19",051-714-0220,0
힐동물병원,0.0,0건,"부산 해운대구 좌동순환로433번길 30-1 힐스테이트위브 상가 224호, (지번) 중동 1809",051-747-7966,0
킴스동물병원,5.0,7건,"부산 기장군 정관읍 정관로 565, (지번) 정관읍 매학리 713-3",051-728-2236,0
로이종합동물병원,5.0,2건,"부산 해운대구 센텀중앙로 145 센텀파크 상가2동 202호, (지번) 재송동 1200",051-742-7975,0
부곡동물병원,4.8,4건,"부산 금정구 부곡로 86, (지번) 부곡1동 324-13",051-517-9247,0
헤아림동물병원,4.7,3건,"부산 동래구 충렬대로 288 1층, (지번) 낙민동 205-12",051-555-1125,0
해운대플러스동물병원,5.0,1건,"부산 해운대구 세실로 48 삼정코아상가 1층, (지번) 좌동 1315",051-915-8275,0
우암 동물병원,5.0,2건,"부산 남구 석포로 7, (지번) 감만2동 46-1",051-636-5242,0
문현동물병원,5.0,1건,"부산 남구 수영로 38, (지번) 문현동 248-21",051-634-4017,0
신개금동물병원,5.0,2건,"부산 부산진구 복지로 47, (지번) 개금동 540-91",051-891-1077,0
박종현동물병원,0.0,0건,"부산 수영구 광남로 258 1층, (지번) 민락동 28-1",051-744-4179,0
한독동물병원,3.0,2건,"부산 금정구 서동로 200, (지번) 서2동 208-26",051-531-2852,0
좌천동물병원,0.0,0건,"부산 기장군 장안읍 해맞이로 17-1 1층 101호, (지번) 장안읍 좌천리 252-13",051-727-0170,0
리더스종합동물병원,5.0,2건,"부산 해운대구 해운대로 814 세종월드프라자 A동 3층 301호, (지번) 좌2동 1479-3",051-701-7588,0
국제동물병원,5.0,5건,"부산 강서구 명지국제8로 243, (지번) 명지동 3357-6",051-204-7588,0
우린 동물병원,0.0,0건,"부산 부산진구 거제대로 60, (지번) 양정1동 387-14",051-865-1782,0
안락동물병원,0.0,0건,"부산 동래구 안연로98번길 4 2층, (지번) 안락동 756-57",051-528-2227,0
리브동물의료센터,0.0,0건,"부산 동래구 충렬대로125번길 6 서봉빌딩 1층, (지번) 온천동 1434-10",051-552-5553,0
동물병원노아,5.0,2건,"부산 북구 금곡대로 175, (지번) 화명동 2337",051-343-7588,0
우리동물병원,0.0,0건,"부산 해운대구 선수촌로 101, (지번) 반여동 1202-2",051-528-7581,0
장동물병원,0.0,0건,"부산 사하구 윤공단로56번길 55, (지번) 다대동 935-11",051-262-7582,0
팻프랜즈동물병원,0.0,0건,"부산 사상구 광장로 17, (지번) 괘법동 531-2",051-555-7523,0
나은동물병원,1.0,1건,"부산 사하구 다대로 254, (지번) 장림동 190-3",051-264-7584,0
풍경동물병원,5.0,1건,"부산 부산진구 성지로 110-1, (지번) 초읍동 203-17",,0
올케어동물의료센터,0.0,0건,"부산 부산진구 동평로 356 1층, 올케어 동물의료센터, (지번) 양정동 511-2",051-714-0011,0
재송동물병원,0.0,0건,"부산 해운대구 재반로 117-1 2층, (지번) 재송동 1059-3",051-784-0079,0
성경완동물병원,0.0,0건,"부산 동구 고관로 48 초량신화하니엘오피스텔 상가 1층, (지번) 초량동 1145-9",051-465-7582,0
애경종합동물병원,5.0,1건,"부산 부산진구 새싹로 155, (지번) 연지동 375-15",051-808-0251,0
토마스동물병원,5.0,1건,"부산 해운대구 반송로 922, (지번) 반송동 20-16",051-544-0775,0
하단종합동물병원,1.0,1건,"부산 사하구 하신중앙로 302-1, (지번) 하단1동 608-68",051-291-4456,0
대일종합동물병원,0.0,0건,"부산 동래구 충렬대로 435, (지번) 안락2동 299-3",051-529-2991,0
대성동물병원,5.0,2건,"부산 사상구 주례로10번길 125, (지번) 주례동 519-62",051-317-7588,0
돌봄동물병원,0.0,0건,"부산 해운대구 센텀2로 33, (지번) 우동 1508",051-751-7585,0
천동물병원,,,"부산 영도구 태종로 430, (지번) 청학동 62-60",051-414-7588,0
광안동물병원,4.0,4건,"부산 수영구 수영로 567, (지번) 광안동 744-28",051-751-7829,0
전포NC동물병원,5.0,1건,"부산 부산진구 전포대로 206-1, (지번) 전포동 312-13",051-802-1100,0
해비치동물병원,0.0,0건,"부산 연제구 안연로 28 그린주택 1층, (지번) 연산동 386-25",051-753-9875,0
용호동물병원,5.0,1건,"부산 남구 용호로123번길 5, (지번) 용호3동 368-4",051-628-0855,0
화목종합동물병원,0.0,0건,"부산 해운대구 세실로 48, (지번) 좌동 1315",051-704-4376,0
금정동물병원,5.0,1건,"부산 금정구 금강로 188, (지번) 장전동 576-3",051-515-8771,0
엄궁동물병원,5.0,2건,"부산 사상구 대동로 12, (지번) 엄궁동 574-9",051-316-7597,0
장산동물병원,0.0,0건,"부산 해운대구 선수촌로 14-1, (지번) 반여1동 1361-17",051-529-5388,0
24H알프동물메디컬,5.0,1건,"부산 해운대구 좌동로 56, (지번) 중동 196-7",051-852-6675,0
하나동물병원,0.0,0건,"부산 북구 금곡대로 469, (지번) 금곡동 1874-3",051-337-0975,0
다대동물병원,5.0,2건,"부산 사하구 다대로 549, (지번) 다대동 909",051-266-7582,0
지동물병원,4.2,5건,"부산 기장군 정관읍 용수로 21, (지번) 정관읍 용수리 1312-5",051-728-0557,0
벡스코동물병원,0.0,0건,"부산 해운대구 해운대로 369 해운대센텀메디칼센터 1층 101호, (지번) 우동 1124-26",051-715-2228,0
연제종합동물병원,1.0,1건,"부산 수영구 연수로 241, (지번) 망미동 963-21",051-753-8875,0
화승종합동물병원,0.0,0건,"부산 부산진구 동평로 107, (지번) 부암동 346-15",051-807-7517,0
제일동물병원,0.0,0건,"부산 동구 초량상로 83-1, (지번) 초량동 287-19",051-467-2876,0
달맞이호두네 동물병원,5.0,1건,"부산 해운대구 달맞이길65번길 33 달맞이유림노르웨이숲 상가 305호, (지번) 중동 1821",051-746-7077,0
학산동물병원,0.0,0건,"부산 동래구 동래로147번길 6, (지번) 복천동 177-2",051-557-7577,0
그린동물병원,3.5,2건,"부산 부산진구 전포대로 274, (지번) 전포동 181-1",051-817-4749,0
소망애견종합병원,0.0,0건,"부산 수영구 수영로 481, (지번) 남천동 47-1",051-628-8211,0
스마트동물병원,0.0,0건,"부산 사하구 다대로 624, (지번) 다대동 1551-39",051-261-1891,0
클릭퍼피동물병원,0.0,0건,"부산 수영구 수영로702번길 18 3층, (지번) 광안동 75-1",051-752-4981,0
순동물병원,0.0,0건,"부산 금정구 금강로 206-3, (지번) 장전동 629-11",051-516-7585,0
신도시동물병원,5.0,6건,"부산 해운대구 좌동순환로 178, (지번) 좌동 1289-4",051-703-6996,0
원동물병원,1.0,1건,"부산 북구 금곡대로 287, (지번) 화명동 2277-4",051-333-7584,0
푸른동물병원,0.0,0건,"부산 해운대구 해운대로61번길 104, (지번) 반여2동 1291-1346",051-784-1235,0
웰니스 클리닉동물병원 서면점,5.0,1건,"부산 부산진구 시민공원로 31, (지번) 부암동 93",051-803-7511,0
아이케어동물병원,0.0,0건,"부산 해운대구 센텀5로 41, (지번) 우동 1473",051-715-5640,0
자연동물병원,0.0,0건,"부산 동래구 사직로70번길 50, (지번) 사직동 42-1",051-506-7975,0
온누리동물병원,5.0,1건,"부산 해운대구 좌동순환로 309, (지번) 좌동 1443-7",051-701-7555,0
쿨펫동물병원 금정점,0.0,0건,"부산 금정구 중앙대로1841번길 24 이마트금정점 1층, (지번) 구서동 368",051-518-1360,0
나비동물병원,5.0,2건,"부산 수영구 광남로 184, (지번) 민락동 167-17",051-754-6618,0
삼성동물병원,0.0,0건,"부산 수영구 연수로 235, (지번) 망미1동 837-4",051-754-3270,0
자이안트동물병원,1.0,1건,"부산 남구 분포로 111 LG메트로시티 주상가 3층 304호, (지번) 용호동 176-30",051-646-7582,0
신비한동물병원인센텀,0.0,0건,"부산 해운대구 센텀중앙로 60 퍼스트인센텀 1층 106호, (지번) 우동 1459",051-744-7500,0
초읍 동물병원,1.9,13건,부산 부산진구 초읍동 273-7,,0
토브동물병원,5.0,1건,"부산 북구 화명대로 20 대성빌딩 1층 101호, (지번) 화명동 2275-2",051-361-9975,0
라이프동물병원,3.0,1건,"부산 연제구 중앙대로 1159 남일아파트 A동 110호, (지번) 연산5동 1122-1",051-853-7588,0
웰니스동물병원,2.0,2건,"부산 남구 전포대로91번길 47 이마트 3층, (지번) 문현동 751",051-636-0148,0
현대동물병원,0.0,0건,"부산 사하구 다대로 473 맘포스프라자 3층, (지번) 다대동 120-1",051-246-7582,0
BS조은동물병원,0.0,0건,"부산 해운대구 윗반송로 73, (지번) 반송동 62-508",051-544-7588,0
