,병원이름,별점,리뷰수,주소,전화
40,모아동물병원,4.8,9건,"('경기 성남시 수정구 수정로 291 산성역포레스티아아파트 서문상가동 1층 101호', '(지번) 신흥동 10')",031-733-2010
41,야탑서울동물병원,5.0,2건,"('경기 성남시 분당구 벌말로 33 일심조합상가 206호', '(지번) 야탑동 274-3')",031-708-8181
42,서울동물병원,3.0,8건,"('경기 성남시 중원구 희망로 442', '(지번) 금광동 7')",031-741-8119
43,지음동물병원,1.0,1건,"('경기 성남시 중원구 광명로 321 1층', '(지번) 금광동 3704')",
44,젠동물병원,5.0,3건,"('경기 성남시 분당구 양현로 479 2층', '(지번) 야탑동 202-3')",031-752-0075
45,포곡동물병원,0.0,0건,"('경기 용인시 처인구 포곡읍 전대로 29', '(지번) 포곡읍 전대리 152-2')",031-334-3304
46,세이브동물병원,5.0,2건,"('경기 성남시 중원구 산성대로 336-3', '(지번) 중앙동 241')",031-735-5995
47,도촌동물병원,3.0,2건,"('경기 성남시 중원구 도촌남로 37', '(지번) 도촌동 568')",031-755-5975
48,우리들동물병원,5.0,7건,"('경기 성남시 분당구 야탑로 103 2층 202호', '(지번) 야탑동 367-6')",031-706-7588
49,미래동물의료센터 분당점,3.6,10건,"('경기 성남시 분당구 서현로255번길 1', '(지번) 서현동 80-1')",031-705-2475
50,성남동물병원,0.0,0건,"('경기 성남시 중원구 둔촌대로 243', '(지번) 하대원동 127-3')",031-752-7582
51,분당고은동물병원,3.7,6건,"('경기 성남시 분당구 매화로 40 1층', '(지번) 야탑동 291-4')",031-703-6535
52,해마루동물병원,4.1,22건,"('경기 성남시 분당구 황새울로319번길 8-6 수의과학회관 1~4층', '(지번) 서현동 272-5')",031-781-2992
53,에버랜드 동물원지원센터동물병원,0.0,0건,"('경기 용인시 처인구 포곡읍 에버랜드로 199', '(지번) 포곡읍 전대리 483')",
54,고려동물병원,5.0,2건,"('경기 성남시 수정구 시민로 146', '(지번) 신흥3동 3777')",031-735-1942
55,Dr. 오즈동물병원,5.0,3건,"('경기 성남시 분당구 분당로263번길 39 레이디파크 109호', '(지번) 서현동 312-1')",031-701-8225
56,레온동물병원,5.0,2건,"('경기 성남시 중원구 광명로 89', '(지번) 성남동 1404')",
57,성남다온동물병원,5.0,2건,"('경기 성남시 중원구 광명로 89 센트럴푸르지오시티 1층 135호', '(지번) 성남동 1404')",031-759-0242
58,이매동물병원,5.0,10건,"('경기 성남시 분당구 성남대로779번길 17 포티스빌딩 1층', '(지번) 이매동 106-3')",031-703-7582
59,초이동물병원,0.0,0건,"('경기 성남시 수정구 시민로 159', '(지번) 신흥1동 5168')",031-758-7776
60,미래동물의료센터 성남점,0.0,0건,"('경기 성남시 수정구 수정로 130 2층', '(지번) 수진동 28-1')",031-757-2475
61,우성동물병원,5.0,5건,"('경기 성남시 분당구 돌마로 481', '(지번) 서현동 95')",031-707-1776
62,위례나무동물병원,4.8,20건,"('경기 성남시 수정구 위례동로 147 위례건아타워 106호', '(지번) 창곡동 513-1')",031-778-8738
63,펫토피아동물병원,3.6,12건,"('경기 성남시 분당구 불정로 266', '(지번) 수내동 87-1')",031-714-8391
64,딜리동물병원,4.3,4건,"('경기 성남시 분당구 성남대로 884-9 라비앙주상복합 101호', '(지번) 야탑동 513-3')",031-605-1275
65,모란동물병원,5.0,5건,"('경기 성남시 중원구 성남대로 1126', '(지번) 성남동 4123')",031-752-7779
66,분당우리동물의료센터,5.0,3건,"('경기 성남시 분당구 양현로94번길 19', '(지번) 이매동 120-6')",031-705-0175
67,중앙동물병원,2.3,6건,"('경기 성남시 수정구 수정로 139-1', '(지번) 태평동 3501')",031-755-9429
68,래온동물병원,0.0,0건,"('경기 성남시 중원구 광명로 89', '(지번) 성남동 1404')",
69,서울동물병원,5.0,2건,"('경기 성남시 분당구 불정로 381', '(지번) 서현동 305-1')",031-707-5558
70,아이펫동물병원,4.6,5건,"('경기 성남시 분당구 장미로 78 1층', '(지번) 야탑동 360-1')",031-781-7501
71,가나동물병원,0.0,0건,"('경기 성남시 수정구 수정로 160', '(지번) 신흥동 5536')",031-721-7582
72,분당24시동물의료센터,3.2,6건,"('경기 성남시 분당구 야탑로 24 분당빌딩 101호', '(지번) 야탑동 537-2')",031-605-5119
73,아이유동물메디컬센터,3.5,6건,"('경기 성남시 수정구 위례광장로 5 3층 301,302호', '(지번) 창곡동 560')",031-604-0975
74,나라동물병원,4.0,2건,"('경기 용인시 처인구 포곡읍 포곡로 90', '(지번) 포곡읍 둔전리 385')",031-338-7975
75,건국동물병원,4.3,4건,"('경기 성남시 수정구 수정로 131', '(지번) 태평동 3659')",031-721-4111
76,365동물병원 위례점,4.0,8건,"('경기 성남시 수정구 위례동로 153 위례에이플타워 2층', '(지번) 창곡동 513')",031-751-0365
77,최재호동물병원,5.0,2건,"('경기 성남시 중원구 둔촌대로63번길 11', '(지번) 성남동 4700')",
78,분당중앙동물병원,5.0,3건,"('경기 성남시 분당구 중앙공원로39번길 49 108호', '(지번) 서현동 88')",031-708-8875
79,아프리카 동물종합병원,5.0,4건,"('경기 성남시 분당구 서현로 170 풍림아이원플러스오피스텔 1층', '(지번) 서현1동 255-1')",031-705-7776
80,서울동물병원,,,"('경기 성남시 수정구 수정로 110 1층', '(지번) 수진동 53')",
81,금산헤르쯔 동물병원,1.7,3건,"('경기 성남시 분당구 돌마로 364', '(지번) 수내동 79-2')",031-712-2795
82,서현 동물병원,0.0,0건,"('경기 성남시 분당구 중앙공원로31번길 42', '(지번) 서현1동 89')",031-707-3334
83,태평역동물병원,1.0,1건,"('경기 성남시 수정구 성남대로 1222', '(지번) 수진동 3011')",031-755-7504
84,개포동물병원,5.0,1건,"('경기 양평군 양서면 양수로 170 1층', '(지번) 양서면 양수리 565-11')",031-771-7278
85,수아동물병원,5.0,4건,"('경기 성남시 분당구 판교로 446 그린프라자 108호', '(지번) 이매동 131-8')",031-708-3100
86,반려동물암센터,5.0,1건,"('경기 성남시 분당구 황새울로342번길 15 은성빌딩 3층 301호', '(지번) 서현동 250-6')",031-709-5500
87,스칸디동물병원,3.0,5건,"('경기 성남시 수정구 위례광장로 70 아트리버 푸르지오 1단지 상가 201호', '(지번) 창곡동 530')",031-759-7579
88,튼튼동물병원,5.0,1건,"('경기 성남시 분당구 판교로 443', '(지번) 야탑동 533-7')",031-704-7582
89,내사랑동물병원,0.0,0건,"('경기 성남시 분당구 중앙공원로40번길 8 현대아케이드 1층', '(지번) 서현동 94')",
90,닥터독,0.0,0건,"('경기 성남시 중원구 성남대로 1108', '(지번) 하대원동 100-3')",031-723-9567
91,분당동물병원,0.0,0건,"('경기 성남시 분당구 양현로 126', '(지번) 이매동 115-1')",031-705-4144
92,해마루 동물영상수술센터,0.0,0건,"('경기 성남시 분당구 황새울로319번길 8-4', '(지번) 서현동 272-4')",
93,우정동물병원,0.0,0건,"('경기 광주시 곤지암읍 삼리 41-24',)",031-797-4755
94,신장가축동물병원,0.0,0건,"('경기 광주시 중앙로 74', '(지번) 역동 27-63')",
95,도그파파,0.0,0건,"('경기 광주시 곤지암읍 광여로 779-4', '(지번) 곤지암읍 건업리 447-7')",031-766-0079
96,서현사료 성남점,0.0,0건,"('경기 성남시 중원구 성남대로 1110', '(지번) 하대원동 100-7')",031-754-4829
