,병원이름,별점,리뷰수,주소,전화,location_type
15,24시 글로리 동물병원,3.9,18건,"서울 금천구 시흥대로 483, (지번) 독산동 145-13",02-855-8575,0
16,VIP동물의료센터 성북점,2.6,37건,"서울 성북구 동소문로 73 시티플레이스 지하 1층~지상2층, (지번) 동소문동6가 3-1",02-953-0075,0
17,예은동물병원,3.8,17건,"서울 강남구 도곡로 189, (지번) 역삼동 798-20",02-529-5575,0
18,청담우리동물병원,4.0,3건,"서울 강남구 삼성로 614, (지번) 삼성동 70-6",02-541-7515,0
19,봉천현대동물병원,5.0,4건,"서울 관악구 봉천로 520 3층, (지번) 봉천동 1612-1",,0
20,와우종합동물병원,4.9,45건,"서울 관악구 난곡로 247, (지번) 신림동 763-20",02-866-0880,0
21,청담눈초롱안과동물병원,5.0,2건,"서울 강남구 도산대로 539 금원빌딩 4층, (지번) 청담동 125-12",02-512-7566,0
22,아크리스동물의료센터,4.7,12건,"서울 강남구 봉은사로104길 10 아이큐타워 3층, (지번) 삼성동 160-21",02-583-7582,0
23,에이드동물병원,4.6,5건,"서울 강남구 논현로 813 지하1층, 1층, (지번) 신사동 586-3",02-545-4975,0
24,24시 수동물메디컬센터,3.4,28건,"서울 영등포구 영등포로 85-1, (지번) 양평동1가 28-3",02-2676-7582,0
25,동물메디컬센터W,2.5,47건,"서울 마포구 월드컵로 46, (지번) 서교동 444-5",02-323-8275,0
26,이로동물의료센터,4.1,37건,"서울 관악구 남부순환로 1678 동보빌딩 1층, (지번) 신림동 10-631",02-887-1575,0
27,파스텔동물병원,4.7,22건,"서울 강서구 화곡로 112, (지번) 화곡동 1070-1",02-2693-0075,0
28,강북24시N동물의료센터,2.0,11건,"서울 성북구 삼양로4길 3, (지번) 길음2동 1163",02-984-0075,0
29,24시안박동물병원,4.8,12건,"서울 강서구 양천로 510 1층 101-1호, (지번) 등촌동 628-13",02-3664-7511,0
30,중앙동물메디컬센터,3.8,12건,"서울 강남구 영동대로 630, (지번) 삼성동 90-8",02-512-3331,0
31,노아동물병원,5.0,5건,"서울 송파구 오금로 498, (지번) 거여동 562-4",02-401-0075,0
32,러브펫종합동물병원,3.7,23건,"서울 관악구 남부순환로 1429, (지번) 신림동 564-3",,0
33,어울림동물병원,3.5,19건,"서울 서대문구 가재울미래로 2 DMC파크뷰자이 104동 102A호, (지번) 남가좌동 155-185",02-305-4242,0
34,24시산들산들동물병원,3.4,11건,"서울 마포구 마포대로16길 7, (지번) 아현동 424-14",02-393-3588,0
35,잠실온동물의료센터,4.0,22건,"서울 송파구 올림픽로 76 J타워 1,2층, (지번) 잠실동 175-6",02-418-0724,0
36,영등포종합동물병원,4.5,22건,"서울 영등포구 영등포로 131-2, (지번) 당산동1가 40-18",02-2633-9991,0
37,이리온 청담점,1.6,5건,"서울 강남구 도산대로 445 2층, (지번) 청담동 97-1",1577-6125,0
38,24시센트럴동물메디컬센터,1.6,13건,"서울 성동구 고산자로 207, (지번) 행당동 318-36",02-3395-7975,0
39,청담아이윌24시동물병원,5.0,8건,"서울 강남구 삼성로133길 3 지하1층, (지번) 청담동 47",02-6925-7021,0
40,츄츄동물병원,4.0,9건,"서울 강남구 논현로67길 56, (지번) 역삼동 834-66",02-512-0075,0
41,리베동물메디컬센터,2.2,18건,"서울 양천구 오목로 280 1층, (지번) 목동 408-115",02-2604-0156,0
42,한양동물메디컬센터,3.7,3건,"서울 성동구 왕십리로 282, (지번) 행당동 226-3",02-2281-5200,0
43,금천24시K동물의료센터,4.1,15건,"서울 금천구 시흥대로 251 도일산호시티빌 1층 105호, (지번) 시흥동 999-1",02-808-2475,0
44,도그마루 동물병원,3.2,98건,"서울 송파구 석촌호수로 104 1층, (지번) 잠실동 242-2",070-4349-3357,0
45,아이원동물병원,4.5,8건,"서울 동대문구 전농로 80 1층, (지번) 답십리동 52-3",02-2217-8930,0
46,24시아프리카동물메디컬센터,2.7,13건,"서울 강서구 공항대로 335 경왕빌딩, (지번) 등촌동 664-1",02-3663-7975,0
47,다나동물병원,5.0,13건,"서울 강서구 강서로 254, (지번) 화곡동 1159-1",02-2690-1060,0
48,24시마곡M동물의료센터,4.4,18건,"서울 강서구 방화대로33길 3 성은빌딩 1, 2층, (지번) 방화동 246-64",02-2662-7515,0
49,골드퍼피동물병원 공릉점,,,"서울 노원구 동일로 1014 1층, (지번) 공릉동 596-5",02-971-5955,0
50,우리동물메디컬센터,2.6,7건,"서울 금천구 남부순환로 1386, (지번) 독산동 950-3",02-853-7582,0
51,24시굿케어동물의료센터,2.9,17건,"서울 관악구 남부순환로 1861 1층 103호, (지번) 봉천동 1673-21",02-6956-2475,0
52,둘리동물병원,4.4,26건,"서울 도봉구 도봉로 506, (지번) 창동 661-3",02-993-0075,0
53,포유동물병원,4.3,6건,"서울 성북구 오패산로 22, (지번) 하월곡동 62-4",02-912-6555,0
54,송이종합동물병원,3.5,8건,"서울 송파구 가락로 210 1층, (지번) 송파동 146-6",02-415-7114,0
55,24시 루시드동물메디컬센터,2.9,27건,"서울 강북구 월계로 3 4층, (지번) 미아동 42-11",02-941-7900,0
56,세계로동물병원,4.3,55건,"서울 관악구 남부순환로 1497, (지번) 신사동 526-9",02-868-3931,0
57,VIP동물의료센터 서초점,4.4,12건,"서울 서초구 동작대로 36, (지번) 방배동 442-3",02-525-3102,0
58,스마트동물병원 동대문점,5.0,10건,"서울 동대문구 한천로 164 원석빌딩 1층, (지번) 장안동 483",02-2242-0175,0
59,서초이음동물병원,5.0,7건,"서울 서초구 효령로 347 서광빌딩 1층, (지번) 서초동 1605-5",02-3474-7582,0
60,최영민동물의료센터,3.8,8건,"서울 강남구 논현로132길 24 2층, (지번) 논현동 88-4",02-546-9539,0
61,워너비동물병원,3.4,5건,"서울 마포구 동교로 193 동진빌딩 1,2층, (지번) 동교동 200-29",02-322-1275,0
62,마리스동물의료센터,2.1,7건,"서울 강동구 올림픽로 820, (지번) 암사동 462-3",02-442-8287,0
63,동물병원알루,5.0,5건,"서울 송파구 법원로4길 6 문정아이파크 1층 128,129호, (지번) 문정동 652-5",02-402-3270,0
64,25시동물의료센터,2.2,6건,"서울 송파구 삼전로 80 1,2층, (지번) 삼전동 5-3",02-419-1351,0
65,잠실베스트동물메디컬센터,3.0,6건,"서울 송파구 삼학사로 88 1,2층, (지번) 석촌동 2-9",02-2203-7975,0
66,이안동물의학센터,3.7,3건,"서울 강남구 선릉로 806 킹콩빌딩 5층, (지번) 청담동 86",02-574-7533,0
67,우신종합동물병원,4.0,13건,"서울 양천구 중앙로 295, (지번) 신월2동 501-12",02-2693-8883,0
68,24시 강서젠틀리동물의료센터,2.6,5건,"서울 강서구 마곡중앙1로 72 엠타워 101호, (지번) 마곡동 730-328",02-2662-8111,0
69,이룸동물병원24시,3.7,3건,"서울 송파구 삼학사로 44, (지번) 석촌동 213-2",02-419-7580,0
70,키다리동물병원,4.9,12건,"서울 마포구 월드컵북로 218 2층 201호, (지번) 성산동 151-6",02-376-7675,0
71,그녀의동물병원,3.9,7건,"서울 서대문구 연희로11가길 48-4 1층, (지번) 연희동 433-8",,0
72,둘레길동물병원,5.0,6건,"서울 은평구 연서로 317 동윤빌딩 1층, (지번) 불광동 104-94",02-354-7544,0
73,라파엘종합동물병원,5.0,2건,"서울 서초구 강남대로 525-3, (지번) 반포동 722-29",02-3444-7507,0
74,봄봄동물병원,4.9,16건,"서울 동대문구 회기로18길 46, (지번) 회기동 62-8",02-969-7579,0
75,혜인종합동물병원 본점,4.0,16건,"서울 양천구 등촌로 218, (지번) 목동 613-8",02-2645-1475,0
76,길종합동물병원,5.0,2건,"서울 강동구 천호대로 1199, (지번) 길동 151",02-484-0075,0
77,웰케어동물병원,4.5,4건,"서울 마포구 월드컵북로 27, (지번) 서교동 447-2",02-337-7575,0
78,한성동물병원,2.4,14건,"서울 관악구 신림로 265, (지번) 서원동 409-165",02-872-7609,0
79,심바동물병원,4.5,17건,"서울 서초구 서초대로4길 4, (지번) 방배동 951-3",02-523-0275,0
80,닥터아이펫동물병원,4.7,15건,"서울 중랑구 망우로 315 영진빌딩 2층, (지번) 상봉동 99-10",02-2208-0329,0
81,다나동물병원,4.6,10건,"서울 동작구 동작대로 47, (지번) 사당동 1019-54",02-3471-0375,0
82,웰튼동물의료센터,4.0,4건,"서울 중구 난계로 197 1,2,4층, (지번) 황학동 1596",02-2253-2233,0
83,늘푸른동물병원,4.1,20건,"서울 관악구 난곡로 223-1, (지번) 신림동 727-21",02-857-7572,0
84,날으는동물병원,4.6,17건,"서울 마포구 마포대로11길 35 1층, (지번) 공덕동 222-2",02-2135-2225,0
85,우리동생동물병원 마포성산점,4.0,21건,"서울 마포구 월드컵북로12길 22, (지번) 성산동 17-23",02-335-3333,0
86,강남25시 종합동물병원,3.7,3건,"서울 강남구 학동로 235, (지번) 논현동 90-6",02-545-8575,0
87,24시SNC동물메디컬센터,4.5,38건,"서울 강남구 논현로 416 운기빌딩 1층, (지번) 역삼동 727-8",02-562-7582,0
88,바른펫 동물의료센터,2.9,10건,"서울 강북구 노해로 65, (지번) 수유동 39-62",02-903-7582,0
89,VIP동물의료센터 노원점,4.1,10건,"서울 노원구 동일로 1333, (지번) 상계동 763-5",02-931-1333,0
90,동물제중원 금손이동물병원,5.0,1건,"서울 서초구 서초대로 124, (지번) 방배동 894-2",02-581-5500,0
91,품 동물의료센터,5.0,16건,"서울 동작구 양녕로 277-1 1층, (지번) 상도1동 623",02-812-7585,0
92,아이힐동물병원,5.0,2건,"서울 강남구 도곡로 115 거암빌딩 2층, (지번) 역삼동 838-9",02-561-3375,0
93,아인스동물병원,4.9,12건,"서울 동대문구 장한로 44 중앙빌딩 1층, (지번) 장안동 435-6",02-2213-0075,0
94,24시스카이동물의료센터 강동점,3.6,9건,"서울 강동구 천호대로 1122, (지번) 성내동 244-2",02-472-7579,0
95,헬프유기동물의료센터,4.5,17건,"서울 서초구 서초대로15길 8-10 1층, (지번) 방배동 871-3",02-583-7580,0
96,박동물병원,5.0,4건,"서울 강서구 강서로 333, (지번) 내발산동 655-12",02-3665-5982,0
97,혜민동물병원,2.4,11건,"서울 강남구 봉은사로57길 59, (지번) 삼성동 10-25",02-454-8275,0
98,송파스마일동물병원,,,"서울 송파구 새말로5길 17, (지번) 문정동 57-3",02-448-7588,0
99,필동물종합병원,4.9,9건,"서울 양천구 등촌로 16 1층, (지번) 목동 805-2",02-2649-0774,0
100,플러스동물메디컬센터,3.6,17건,"서울 영등포구 양평로12가길 14 1층, (지번) 양평동4가 281",02-3662-3533,0
101,24시 닥터멍동물병원,4.8,6건,"서울 강남구 논현로 515, (지번) 역삼동 641-10",02-554-7505,0
102,한수동물병원,5.0,5건,"서울 은평구 증산로 267 1층, (지번) 증산동 174-6",02-306-8575,0
103,원동물병원,4.5,15건,"서울 동작구 사당로 180, (지번) 사당동 224-24",02-587-5618,0
104,드림동물병원,5.0,10건,"서울 강남구 역삼로 234 뉴튼프라자 101호, (지번) 역삼동 771",02-508-7583,0
105,채움동물의료센터,3.4,5건,"서울 송파구 동남로 282 1층, (지번) 오금동 151-1",02-443-6933,0
106,VIP동물의료센터 동대문점,2.6,17건,"서울 동대문구 답십리로 298 1층, (지번) 장안동 335-3",02-2215-7522,0
107,선릉동물병원,5.0,3건,"서울 강남구 선릉로 533 1층, (지번) 역삼동 694-11",02-557-1555,0
108,우리들동물종합병원,5.0,7건,"서울 노원구 동일로 1280 무지개아파트상가, (지번) 중계동 512",02-979-8275,0
109,24시SD동물의료센터,5.0,1건,"서울 중구 왕십리로 407 2층 3~5호, (지번) 신당동 855",02-2039-0303,0
110,고덕24시동물병원,3.1,8건,"서울 강동구 동남로 877 106호, (지번) 명일동 48-17",02-6227-8275,0
111,다온동물병원,4.4,7건,"서울 양천구 중앙로 230, (지번) 신정동 1052-3",02-2643-8204,0
112,한마음동물병원,3.7,6건,"서울 강서구 강서로18길 17, (지번) 화곡동 338-21",02-2692-8275,0
113,하니동물의료센터,3.2,11건,"서울 양천구 등촌로 58 한독빌딩 1,2층, (지번) 목동 783-2",02-2647-1772,0
114,현림종합동물병원,2.6,7건,"서울 양천구 등촌로 160, (지번) 목동 657-16",02-2642-8886,0
115,스킨앤이어동물병원,4.8,4건,"서울 송파구 위례성대로 102 태평양파크빌라트 아케이드 2층 202호, (지번) 방이동 181",02-417-3021,0
116,씨에이치동물병원,4.3,7건,"서울 강동구 구천면로 322, (지번) 천호1동 233-145",02-488-7510,0
117,주주동물종합병원,4.5,14건,"서울 강남구 선릉로 412, (지번) 대치동 898-8",02-556-0975,0
118,현대종합동물병원,4.7,3건,"서울 강북구 노해로 94, (지번) 수유동 252-199",02-999-9110,0
119,24시 신도림S동물의료센터,4.4,7건,"서울 구로구 경인로 619-3 상가 201호, (지번) 신도림동 435-10",02-6949-3575,0
120,서울동물병원,3.4,5건,"서울 영등포구 영중로27길 10, (지번) 영등포동7가 64-48",02-2632-8687,0
121,윤신근박사동물병원,1.8,24건,"서울 중구 퇴계로 226, (지번) 필동2가 53",02-2272-1234,0
122,라온동물병원,3.4,8건,"서울 마포구 월드컵북로 151 1층, (지번) 성산동 94-4",02-375-7575,0
123,대형동물병원,4.7,3건,"서울 강북구 한천로 1135, (지번) 수유동 266-20",02-998-1785,0
124,동물사랑동물병원,3.8,41건,"서울 마포구 월드컵로 73 1층, (지번) 망원동 378-3",02-3142-0008,0
125,시유동물메디컬센터,3.9,15건,"서울 용산구 이촌로64길 24, (지번) 이촌동 302-88",02-793-0075,0
126,충현동물종합병원,3.5,10건,"서울 강남구 논현로 621, (지번) 논현동 191-12",02-549-7582,0
127,보라매웰 종합동물병원,4.6,14건,"서울 동작구 상도로 16, (지번) 대방동 401-22",02-3280-7975,0
128,심재웅동물병원,5.0,8건,"서울 동대문구 망우로 120, (지번) 휘경동 34-48",02-2244-7755,0
129,이앤박동물병원,3.5,8건,"서울 노원구 한글비석로52길 18 1층, (지번) 상계동 456-128",02-939-6898,0
130,한솔동물병원,3.1,15건,"서울 서대문구 통일로 392, (지번) 홍제동 103-6",02-737-8374,0
131,아이웰동물의료센터,4.1,11건,"서울 마포구 백범로 130 뉴한일빌딩 1층, (지번) 염리동 156-1",02-2088-1375,0
132,애니컴메디컬센터,5.0,8건,"서울 중구 다산로 83-1, (지번) 신당동 353-130",02-2232-9702,0
133,성지동물병원,5.0,2건,"서울 중랑구 면목로 311, (지번) 면목7동 634-5",02-493-7582,0
134,365 마음동물병원,5.0,6건,"서울 구로구 오리로 1286 2층, (지번) 궁동 170-11",02-2611-5223,0
135,아이봄동물병원,4.0,11건,"서울 중랑구 신내로 66 1층, (지번) 신내동 563-2",02-433-7515,0
136,퍼피즌동물병원,5.0,7건,"서울 강남구 선릉로 636 키스톤빌딩 1층, (지번) 삼성동 34-3",02-541-2651,0
137,서진동물병원,4.7,20건,"서울 관악구 봉천로 236, (지번) 신림동 1429-2",02-887-2165,0
138,셀레네동물병원,5.0,14건,"서울 마포구 독막로 85, (지번) 상수동 310-1",02-335-5232,0
139,페토피아동물병원,2.6,5건,"서울 송파구 오금로 203, (지번) 방이동 124-8",02-414-0075,0
140,치료멍멍동물병원 신사본원,4.8,5건,"서울 강남구 도산대로 309, (지번) 신사동 630-23",02-545-0075,0
141,프라임동물병원,5.0,1건,"서울 광진구 아차산로 451 제B1-1호, (지번) 구의동 659",02-457-0292,0
142,이비치동물치과병원,2.0,12건,"서울 강남구 선릉로 756 대성빌딩 2층, (지번) 청담동 1-18",02-511-2842,0
143,우신동물병원,3.7,6건,"서울 은평구 연서로 72, (지번) 역촌동 22-49",02-356-7547,0
144,나우동물의료센터,5.0,3건,"서울 노원구 동일로 1636 1층, (지번) 상계동 1025-31",02-952-9111,0
145,양지동물병원,2.4,8건,"서울 관악구 남부순환로191길 6 1층, (지번) 봉천동 959-9",02-874-3535,0
146,닥터캣고양이병원,4.1,13건,"서울 송파구 백제고분로 293 2층 202호, (지번) 석촌동 15",02-2039-2575,0
147,항동푸른숲동물병원,5.0,2건,"서울 구로구 항동로3길 4 1,2층, (지번) 항동 128-14",02-2088-7578,0
148,마곡나무동물병원,4.3,10건,"서울 강서구 마곡중앙1로 72 1014동 103호, (지번) 마곡동 747",02-2661-7515,0
149,한양동물병원,5.0,2건,"서울 송파구 가락로 162, (지번) 송파동 103-29",02-420-9993,0
150,메이플동물의료센터,4.6,10건,"서울 강동구 아리수로93나길 60 골드프라자 202,203호, (지번) 강일동 75-10",02-426-7979,0
151,서울동물종합병원,3.2,21건,"서울 성북구 보문로 137, (지번) 보문동2가 49",02-928-5599,0
152,정겨운동물병원,4.3,6건,"서울 동작구 상도로 315, (지번) 상도1동 261",02-817-8172,0
153,서울동물병원,4.1,16건,"서울 광진구 천호대로 623-1, (지번) 중곡동 119-7",02-2038-8253,0
154,24시예스동물병원,5.0,2건,"서울 서초구 잠원로 24, (지번) 반포1동 20-45",02-534-3475,0
155,강북우리동물의료센터,5.0,1건,"서울 도봉구 도봉로 586, (지번) 창동 731-72",02-999-7582,0
156,한빛종합동물병원,3.0,3건,"서울 노원구 동일로 1370, (지번) 상계동 749-10",02-951-7582,0
157,중앙동물병원,4.6,10건,"서울 강북구 도봉로 88, (지번) 미아동 98-39",02-982-8698,0
158,24시 애니 동물병원,,,"서울 성북구 보문로 99 1층, (지번) 보문동5가 3-1",02-926-8275,0
159,더조은동물의료센터,4.1,12건,"서울 금천구 시흥대로 172, (지번) 시흥동 904-6",02-802-2811,0
160,두암동물병원,5.0,1건,"서울 양천구 목동중앙북로 73, (지번) 목동 507-20",02-846-4597,0
161,오늘동물병원,,,"서울 성동구 왕십리로 104 2층, (지번) 성수동1가 656-968",02-469-7975,0
162,행복한동물병원,3.7,3건,"서울 성북구 돌곶이로 91, (지번) 장위동 64-123",02-915-7582,0
163,대한동물병원,1.8,4건,"서울 강서구 화곡로 205, (지번) 화곡동 1059-51",02-2694-4821,0
164,유석동물병원,3.2,14건,"서울 영등포구 여의대방로 11 방주빌딩 1층, (지번) 신길동 4824",02-833-7554,0
165,에이플러스동물병원,4.5,8건,"서울 서대문구 연희로 114 1층, (지번) 연희동 135-9",02-3144-7582,0
166,로운동물병원,3.3,13건,"서울 강서구 등촌로 223 2층, (지번) 등촌동 507-8",02-6953-7576,0
167,베를린동물치과센터,3.9,15건,"서울 송파구 백제고분로 506 4층, (지번) 방이동 180-3",02-830-1494,0
168,홍익동물병원,3.9,8건,"서울 마포구 독막로 45, (지번) 합정동 411-18",02-325-2026,0
169,봄빛동물병원,5.0,1건,"서울 송파구 송이로 171, (지번) 가락동 125-8",02-400-7582,0
170,위드동물병원,3.2,13건,"서울 서대문구 응암로 76, (지번) 북가좌동 300-2",02-373-7500,0
171,라라동물의료원,,,"서울 구로구 도림로 72 1,2층, (지번) 구로동 309-2",02-839-7585,0
172,백년동물병원,4.3,6건,"서울 서대문구 가좌로 104, (지번) 홍은동 398-9",02-373-2923,0
173,우리아이동물병원,4.9,19건,"서울 동작구 상도로 262, (지번) 상도동 34-18",02-823-7500,0
174,더힐동물의료센터,4.3,6건,"서울 용산구 독서당로 81-1 3층, (지번) 한남동 29-6",02-792-8275,0
175,와이즈24시동물병원,,,"서울 강남구 학동로6길 7, (지번) 논현동 123-5",02-3446-8253,0
176,강북동물병원,0.0,0건,"서울 강북구 오현로 194 덕수빌딩 1층, (지번) 번동 309",02-985-7525,0
177,수동물병원,4.4,7건,"서울 성동구 광나루로 337, (지번) 송정동 79-2",02-3409-4640,0
178,원스동물병원,3.7,3건,"서울 용산구 청파로47길 16, (지번) 청파동2가 90-20",02-719-8275,0
179,원러브동물의료센터,5.0,8건,"서울 성북구 아리랑로 75 돈암코오롱하늘채 상가 110호, (지번) 돈암동 644",02-6956-0040,0
180,뉴욕동물병원,5.0,7건,"서울 마포구 양화로 68, (지번) 서교동 395-44",02-333-9558,0
181,스머프동물병원,4.6,10건,"서울 은평구 백련산로 145, (지번) 응암동 194-23",02-969-7582,0
182,클로버 동물병원,5.0,5건,"서울 구로구 서해안로 2096 청솔프라자 2층 203, 204호, (지번) 항동 121-1",02-2687-7582,0
183,관악동물종합병원,4.6,10건,"서울 관악구 남부순환로 1859, (지번) 행운동 1665-4",02-883-2733,0
184,누리봄동물병원,5.0,3건,"서울 종로구 사직로12길 2, (지번) 내자동 125-3",02-735-7530,0
185,연서동물종합병원,5.0,2건,"서울 은평구 연서로 162, (지번) 대조동 223-13",02-358-7582,0
186,내품에동물병원,4.9,14건,"서울 강동구 천호대로 1120 LIG건영 주상복합 102호, (지번) 성내동 244-12",02-477-1775,0
187,올리브동물병원,2.9,9건,"서울 종로구 자하문로 305, (지번) 홍지동 126-8",02-391-7502,0
188,라임동물병원,4.6,9건,"서울 성동구 무학로 16, (지번) 홍익동 398-2",02-2281-8122,0
189,압구정동물병원,3.0,8건,"서울 강남구 압구정로 224 105호, (지번) 신사동 616-2",02-547-7588,0
190,지엔동물병원,3.0,6건,"서울 동작구 상도로31길 87, (지번) 상도동 22-151",02-812-8275,0
191,마리 동물병원,3.0,2건,"서울 마포구 신촌로 16, (지번) 동교동 174-20",02-323-7582,0
192,센트럴동물병원,5.0,2건,"서울 강동구 고덕로 399 고덕센트럴푸르지오 메가스퀘어 225호, (지번) 고덕동 210-1",02-3428-0045,0
193,밀리언동물병원,4.4,76건,"서울 양천구 신월로 320 1층, (지번) 신정동 1028-4",02-2061-5277,0
194,대치동물메디컬센터,5.0,2건,"서울 강남구 도곡로 520, (지번) 대치동 990-1",02-501-8275,0
195,대방동물병원,4.7,15건,"서울 영등포구 여의대방로35길 1, (지번) 신길동 628",02-833-0309,0
196,우리아이동물메디컬센터,4.0,5건,"서울 강서구 공항대로 284 동서빌딩 1층 2호, (지번) 내발산동 646",02-3664-0075,0
197,송파동물종합병원,2.6,10건,"서울 송파구 송파대로 378, (지번) 송파동 97-14",02-424-3662,0
198,나래동물병원,4.0,27건,"서울 광진구 능동로 283, (지번) 군자동 1-2",02-463-3216,0
199,남산동물병원,4.0,5건,"서울 용산구 후암로 51, (지번) 후암동 63-1",02-778-7582,0
200,용강동물병원,3.0,6건,"서울 마포구 대흥로 48, (지번) 대흥동 337-41",02-707-2340,0
201,경인동물의료센터,3.8,11건,"서울 영등포구 경인로 832 대성빌딩 1층, (지번) 영등포동 423-44",02-571-8275,0
202,링크동물의료센터,4.0,8건,"서울 서대문구 신촌로 209, (지번) 북아현동 251-40",02-393-7577,0
203,원효동물병원,2.3,3건,"서울 용산구 새창로 122-2, (지번) 용문동 25-36",,0
204,퍼스트동물병원,4.5,8건,"서울 성북구 한천로 713 래미안장위 퍼스트하이아파트 515동 상가 2층 206, 207호, (지번) 장위동 175-41",02-911-7582,0
205,모두동물병원,4.0,9건,"서울 구로구 개봉로20길 26 조양빌딩 1층, (지번) 개봉동 403-229",02-2060-7975,0
206,보듬동물병원,5.0,5건,"서울 도봉구 해등로 255 신원에벤에셀상가 121호, (지번) 쌍문동 256",02-6954-7544,0
207,상도힐링동물병원,2.6,14건,"서울 동작구 상도로 353, (지번) 상도동 486-7",02-812-7512,0
208,서교동물병원,3.3,12건,"서울 마포구 포은로 107 2층, (지번) 망원동 415-32",02-332-7984,0
209,공항축산동물병원,4.0,4건,"서울 강서구 개화동로29길 15, (지번) 방화2동 612-129",02-2663-8520,0
210,강앤정동물병원,5.0,11건,"서울 서대문구 가재울미래로 2 DMC파크뷰자이 204동 102-2,103-1호, (지번) 남가좌동 278-36",02-305-7505,0
211,오렌지 동물병원,4.3,7건,"서울 성동구 행당로8길 41-2, (지번) 행당동 322-100",02-2297-7582,0
212,서울동물의료센터,3.0,2건,"서울 강남구 역삼로 426 1,2층, (지번) 대치동 909-5",02-566-8211,0
213,닥터윤 24시동물병원,3.6,11건,"서울 은평구 통일로 817, (지번) 대조동 187-24",02-359-2020,0
214,민병철종합동물병원,5.0,2건,"서울 양천구 남부순환로 347, (지번) 신월동 50-5",02-2695-1231,0
215,퓨리나동물병원,4.2,5건,"서울 도봉구 도봉로 469, (지번) 쌍문동 96-25",02-900-9929,0
216,사랑의동물병원,3.4,5건,"서울 강북구 솔샘로 184 주상가 209호, (지번) 미아동 1353-5",02-983-8575,0
217,현대종합동물병원,4.6,10건,"서울 동대문구 답십리로 293, (지번) 장안동 330-2",02-2212-7596,0
218,미소로동물병원,5.0,7건,"서울 영등포구 영신로 238 미소로프라자1층, (지번) 영등포동8가 72",02-2679-9997,0
219,반려동물의료센터 다울,3.0,2건,"서울 서초구 효령로 95 1층, (지번) 방배동 915-10",02-3473-0911,0
220,캣앤캣 고양이병원,4.6,10건,"서울 영등포구 선유로 76 동국메뜨리앙 2층 206호, (지번) 문래동3가 84-2",02-2677-2720,0
221,사랑의동물병원,3.5,4건,"서울 서초구 마방로6길 18, (지번) 양재동 257-2",02-577-7475,0
222,스마트동물병원,3.3,7건,"서울 강북구 솔샘로 203-2, (지번) 미아동 839-223",02-987-7588,0
223,천호동물병원,1.0,1건,"서울 송파구 올림픽로 611, (지번) 풍납동 480-2",02-473-6900,0
224,캣&덴탈하이디동물병원,4.6,10건,"서울 마포구 월드컵로3길 14 123호, (지번) 합정동 473",02-338-0275,0
225,한사랑동물병원,4.5,11건,"서울 성북구 성북로 27, (지번) 성북동1가 115-23",02-743-7582,0
226,강서YD동물의료센터,,,"서울 강서구 화곡로 371, (지번) 등촌동 658-4",02-518-7500,0
227,메인동물메디컬센터,2.2,13건,"서울 노원구 동일로 1025-1, (지번) 공릉동 576-23",02-979-8575,0
228,로얄도그앤캣메디컬센터 스타건대점,2.1,11건,"서울 광진구 능동로 49, (지번) 자양동 550-1",02-468-6612,0
229,금란 동물병원,3.4,5건,"서울 중랑구 용마산로 532, (지번) 망우본동 364-27",02-492-7582,0
230,화신동물병원,4.0,4건,"서울 도봉구 도당로 63, (지번) 방학동 664-11",02-3491-7060,0
